method,success_probability,RAQC,oracle_depth,CX_count
CARE-QSearch-adaptive,0.8546632815630008,163948958343297.4,62.416666666666664,45.583333333333336
CARE-QSearch-oracle-M,0.8225000626001603,193750002315.74362,62.416666666666664,45.583333333333336
CARE-Fuse-95,0.8222631992437901,96669310899596.9,62.416666666666664,45.583333333333336
gate_cost_only_grover,0.820489267202524,193750002417.50684,66.77083333333333,48.666666666666664
rarity_only_grover,0.8172156309470152,193750002487.9921,69.83333333333333,50.895833333333336
standard_grover,0.8164846958258213,193750002578.33002,73.75,53.625
random_order_grover,0.8155667427258614,193750002642.85272,76.47916666666667,55.729166666666664
CARE-Fuse,0.7374451074844751,67860977565960.25,62.416666666666664,45.583333333333336
classical_selective,0.7141761289990411,,0.0,0.0
classical_sequential,0.7141761289990411,,0.0,0.0
classical_sqlite_indexed,0.7141761289990411,,0.0,0.0
classical_vectorised,0.7141761289990411,,0.0,0.0
