query_id,dataset,conditions,conditions_json,K,M,N,target_prevalence,rarity_bin,predicate_prevalence,predicate_order,CARE_scores,SCR_scores,CARE_order,CARE_Fuse_order,joint_selectivity,manual_example
cleveland_Q001,cleveland,age > 60 AND chol > 240,"[{""feature"": ""age"", ""op"": "">"", ""value"": 60}, {""feature"": ""chol"", ""op"": "">"", ""value"": 240}]",2,47,303,0.1551155115511551,moderate,"{""age > 60"": 0.2607260726072607, ""chol > 240"": 0.5016501650165016}","[""age > 60"", ""chol > 240""]","{""age > 60"": 0.018670624294281023, ""chol > 240"": 0.009581281703612369}","{""age > 60"": 0.018670624294281023, ""chol > 240"": 0.009581281703612369}","[""age > 60"", ""chol > 240""]","[""age > 60"", ""chol > 240""]",0.1551155115511551,True
cleveland_Q002,cleveland,age > 60 AND trestbps > 140 AND chol > 240,"[{""feature"": ""age"", ""op"": "">"", ""value"": 60}, {""feature"": ""trestbps"", ""op"": "">"", ""value"": 140}, {""feature"": ""chol"", ""op"": "">"", ""value"": 240}]",3,15,303,0.04950495049504951,rare,"{""age > 60"": 0.2607260726072607, ""trestbps > 140"": 0.21782178217821782, ""chol > 240"": 0.5016501650165016}","[""age > 60"", ""trestbps > 140"", ""chol > 240""]","{""age > 60"": 0.018670624294281023, ""trestbps > 140"": 0.02116775081765093, ""chol > 240"": 0.009581281703612369}","{""age > 60"": 0.018670624294281023, ""trestbps > 140"": 0.02116775081765093, ""chol > 240"": 0.009581281703612369}","[""trestbps > 140"", ""age > 60"", ""chol > 240""]","[""age > 60"", ""chol > 240"", ""trestbps > 140""]",0.04950495049504951,True
cleveland_Q003,cleveland,age > 55 AND fbs == 1 AND thalach < 130,"[{""feature"": ""age"", ""op"": "">"", ""value"": 55}, {""feature"": ""fbs"", ""op"": ""=="", ""value"": 1}, {""feature"": ""thalach"", ""op"": ""<"", ""value"": 130}]",3,5,303,0.0165016501650165,rare,"{""age > 55"": 0.5016501650165016, ""fbs == 1"": 0.1485148514851485, ""thalach < 130"": 0.19471947194719472}","[""age > 55"", ""fbs == 1"", ""thalach < 130""]","{""age > 55"": 0.009581281703612369, ""fbs == 1"": 0.052974175248687284, ""thalach < 130"": 0.022724935506185158}","{""age > 55"": 0.009581281703612369, ""fbs == 1"": 0.052974175248687284, ""thalach < 130"": 0.022724935506185158}","[""fbs == 1"", ""thalach < 130"", ""age > 55""]","[""fbs == 1"", ""age > 55"", ""thalach < 130""]",0.0165016501650165,True
cleveland_Q004,cleveland,age > 60 AND chol > 240 AND trestbps > 140 AND thalach < 130,"[{""feature"": ""age"", ""op"": "">"", ""value"": 60}, {""feature"": ""chol"", ""op"": "">"", ""value"": 240}, {""feature"": ""trestbps"", ""op"": "">"", ""value"": 140}, {""feature"": ""thalach"", ""op"": ""<"", ""value"": 130}]",4,3,303,0.009900990099009901,very_rare,"{""age > 60"": 0.2607260726072607, ""chol > 240"": 0.5016501650165016, ""trestbps > 140"": 0.21782178217821782, ""thalach < 130"": 0.19471947194719472}","[""age > 60"", ""chol > 240"", ""trestbps > 140"", ""thalach < 130""]","{""age > 60"": 0.018670624294281023, ""chol > 240"": 0.009581281703612369, ""trestbps > 140"": 0.02116775081765093, ""thalach < 130"": 0.022724935506185158}","{""age > 60"": 0.018670624294281023, ""chol > 240"": 0.009581281703612369, ""trestbps > 140"": 0.02116775081765093, ""thalach < 130"": 0.022724935506185158}","[""thalach < 130"", ""trestbps > 140"", ""age > 60"", ""chol > 240""]","[""age > 60"", ""chol > 240"", ""thalach < 130"", ""trestbps > 140""]",0.009900990099009901,True
cleveland_Q005,cleveland,age > 60 AND chol > 240 AND trestbps > 140 AND thalach < 130 AND oldpeak > 1,"[{""feature"": ""age"", ""op"": "">"", ""value"": 60}, {""feature"": ""chol"", ""op"": "">"", ""value"": 240}, {""feature"": ""trestbps"", ""op"": "">"", ""value"": 140}, {""feature"": ""thalach"", ""op"": ""<"", ""value"": 130}, {""feature"": ""oldpeak"", ""op"": "">"", ""value"": 1}]",5,2,303,0.006600660066006601,very_rare,"{""age > 60"": 0.2607260726072607, ""chol > 240"": 0.5016501650165016, ""trestbps > 140"": 0.21782178217821782, ""thalach < 130"": 0.19471947194719472, ""oldpeak > 1"": 0.40594059405940597}","[""age > 60"", ""chol > 240"", ""trestbps > 140"", ""thalach < 130"", ""oldpeak > 1""]","{""age > 60"": 0.018670624294281023, ""chol > 240"": 0.009581281703612369, ""trestbps > 140"": 0.02116775081765093, ""thalach < 130"": 0.022724935506185158, ""oldpeak > 1"": 0.012521506217514102}","{""age > 60"": 0.018670624294281023, ""chol > 240"": 0.009581281703612369, ""trestbps > 140"": 0.02116775081765093, ""thalach < 130"": 0.022724935506185158, ""oldpeak > 1"": 0.012521506217514102}","[""thalach < 130"", ""trestbps > 140"", ""age > 60"", ""oldpeak > 1"", ""chol > 240""]","[""age > 60"", ""chol > 240"", ""oldpeak > 1"", ""thalach < 130"", ""trestbps > 140""]",0.006600660066006601,True
cleveland_Q006,cleveland,age > 58,"[{""feature"": ""age"", ""op"": "">"", ""value"": 58.0}]",1,105,303,0.3465346534653465,common,"{""age > 58"": 0.3465346534653465}","[""age > 58""]","{""age > 58"": 0.014719061839602948}","{""age > 58"": 0.014719061839602948}","[""age > 58""]","[""age > 58""]",0.3465346534653465,False
cleveland_Q007,cleveland,chol > 286,"[{""feature"": ""chol"", ""op"": "">"", ""value"": 286.0}]",1,60,303,0.19801980198019803,moderate,"{""chol > 286"": 0.19801980198019803}","[""chol > 286""]","{""chol > 286"": 0.022491503308538566}","{""chol > 286"": 0.022491503308538566}","[""chol > 286""]","[""chol > 286""]",0.19801980198019803,False
cleveland_Q008,cleveland,chol > 268.4,"[{""feature"": ""chol"", ""op"": "">"", ""value"": 268.4}]",1,91,303,0.30033003300330036,common,"{""chol > 268.4"": 0.30033003300330036}","[""chol > 268.4""]","{""chol > 268.4"": 0.016706573550640858}","{""chol > 268.4"": 0.016706573550640858}","[""chol > 268.4""]","[""chol > 268.4""]",0.30033003300330036,False
statlog_Q001,statlog,age > 60 AND chol > 240,"[{""feature"": ""age"", ""op"": "">"", ""value"": 60}, {""feature"": ""chol"", ""op"": "">"", ""value"": 240}]",2,46,270,0.17037037037037037,moderate,"{""age > 60"": 0.26666666666666666, ""chol > 240"": 0.5333333333333333}","[""age > 60"", ""chol > 240""]","{""age > 60"": 0.018357719947416133, ""chol > 240"": 0.008730675799147826}","{""age > 60"": 0.018357719947416133, ""chol > 240"": 0.008730675799147826}","[""age > 60"", ""chol > 240""]","[""age > 60"", ""chol > 240""]",0.17037037037037037,True
statlog_Q002,statlog,age > 60 AND trestbps > 140 AND chol > 240,"[{""feature"": ""age"", ""op"": "">"", ""value"": 60}, {""feature"": ""trestbps"", ""op"": "">"", ""value"": 140}, {""feature"": ""chol"", ""op"": "">"", ""value"": 240}]",3,14,270,0.05185185185185185,moderate,"{""age > 60"": 0.26666666666666666, ""trestbps > 140"": 0.21481481481481482, ""chol > 240"": 0.5333333333333333}","[""age > 60"", ""trestbps > 140"", ""chol > 240""]","{""age > 60"": 0.018357719947416133, ""trestbps > 140"": 0.02136081866354753, ""chol > 240"": 0.008730675799147826}","{""age > 60"": 0.018357719947416133, ""trestbps > 140"": 0.02136081866354753, ""chol > 240"": 0.008730675799147826}","[""trestbps > 140"", ""age > 60"", ""chol > 240""]","[""age > 60"", ""chol > 240"", ""trestbps > 140""]",0.05185185185185185,True
statlog_Q003,statlog,age > 55 AND fbs == 1 AND thalach < 130,"[{""feature"": ""age"", ""op"": "">"", ""value"": 55}, {""feature"": ""fbs"", ""op"": ""=="", ""value"": 1}, {""feature"": ""thalach"", ""op"": ""<"", ""value"": 130}]",3,4,270,0.014814814814814815,rare,"{""age > 55"": 0.4888888888888889, ""fbs == 1"": 0.14814814814814814, ""thalach < 130"": 0.2037037037037037}","[""age > 55"", ""fbs == 1"", ""thalach < 130""]","{""age > 55"": 0.009939167143841807, ""fbs == 1"": 0.05304284716892766, ""thalach < 130"": 0.022098455122704367}","{""age > 55"": 0.009939167143841807, ""fbs == 1"": 0.05304284716892766, ""thalach < 130"": 0.022098455122704367}","[""fbs == 1"", ""thalach < 130"", ""age > 55""]","[""fbs == 1"", ""age > 55"", ""thalach < 130""]",0.014814814814814815,True
